2026-04-16 20:10:01,365 | INFO | Mon100_app | Scheduler ETF DATA: 16.12
2026-04-16 20:10:26,193 | INFO | Mon100_app | Scheduler stopped
2026-04-16 20:10:28,334 | INFO | Mon100_app | Scheduler started
2026-04-16 20:11:00,005 | INFO | Mon100_app | Fetching Market price...
2026-04-16 20:11:00,861 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 20:11:01,354 | INFO | Mon100_app | Calculating premium...
2026-04-16 20:11:01,355 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 20:11:01,355 | INFO | Mon100_app | Scheduler ETF DATA: 16.12
2026-04-16 20:12:00,003 | INFO | Mon100_app | Fetching Market price...
2026-04-16 20:12:00,168 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 20:12:00,706 | INFO | Mon100_app | Calculating premium...
2026-04-16 20:12:00,706 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 20:12:00,706 | INFO | Mon100_app | Scheduler ETF DATA: 16.12
2026-04-16 20:13:00,004 | INFO | Mon100_app | Fetching Market price...
2026-04-16 20:13:00,154 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 20:13:00,653 | INFO | Mon100_app | Calculating premium...
2026-04-16 20:13:00,653 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 20:13:00,653 | INFO | Mon100_app | Scheduler ETF DATA: 16.12
2026-04-16 20:13:23,401 | INFO | Mon100_app | Scheduler stopped
2026-04-16 20:13:25,862 | INFO | Mon100_app | Scheduler started
2026-04-16 20:13:27,568 | INFO | Mon100_app | Scheduler stopped
2026-04-16 20:13:29,191 | INFO | Mon100_app | Scheduler started
2026-04-16 20:13:37,344 | INFO | Mon100_app | Scheduler stopped
2026-04-16 20:13:39,028 | INFO | Mon100_app | Scheduler started
2026-04-16 20:14:00,003 | INFO | Mon100_app | Fetching Market price...
2026-04-16 20:14:00,849 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 20:14:01,390 | INFO | Mon100_app | Calculating premium...
2026-04-16 20:14:01,391 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 20:14:01,391 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 20:15:00,005 | INFO | Mon100_app | Fetching Market price...
2026-04-16 20:15:00,100 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 20:15:00,584 | INFO | Mon100_app | Calculating premium...
2026-04-16 20:15:00,585 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 20:15:00,585 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 20:16:00,004 | INFO | Mon100_app | Fetching Market price...
2026-04-16 20:16:00,093 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 20:16:00,568 | INFO | Mon100_app | Calculating premium...
2026-04-16 20:16:00,568 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 20:16:00,569 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 20:17:00,002 | INFO | Mon100_app | Fetching Market price...
2026-04-16 20:17:00,097 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 20:17:00,570 | INFO | Mon100_app | Calculating premium...
2026-04-16 20:17:00,571 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 20:17:00,571 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 20:18:00,003 | INFO | Mon100_app | Fetching Market price...
2026-04-16 20:18:00,093 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 20:18:00,575 | INFO | Mon100_app | Calculating premium...
2026-04-16 20:18:00,575 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 20:18:00,575 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 20:19:00,001 | INFO | Mon100_app | Fetching Market price...
2026-04-16 20:19:00,098 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 20:19:00,588 | INFO | Mon100_app | Calculating premium...
2026-04-16 20:19:00,589 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 20:19:00,589 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 20:20:00,002 | INFO | Mon100_app | Fetching Market price...
2026-04-16 20:20:00,170 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 20:20:00,658 | INFO | Mon100_app | Calculating premium...
2026-04-16 20:20:00,658 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 20:20:00,658 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 20:21:00,001 | INFO | Mon100_app | Fetching Market price...
2026-04-16 20:21:00,093 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 20:21:00,575 | INFO | Mon100_app | Calculating premium...
2026-04-16 20:21:00,575 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 20:21:00,575 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 20:25:00,007 | INFO | Mon100_app | Fetching Market price...
2026-04-16 20:25:00,337 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 20:25:00,882 | INFO | Mon100_app | Calculating premium...
2026-04-16 20:25:00,882 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 20:25:00,883 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 20:26:00,002 | INFO | Mon100_app | Fetching Market price...
2026-04-16 20:26:00,152 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 20:26:00,656 | INFO | Mon100_app | Calculating premium...
2026-04-16 20:26:00,656 | INFO | Mon100_app | premium percent is 16.12%
2026-04-16 20:26:00,656 | INFO | Mon100_app | Scheduler ETF DATA: {'etf': 'MON100', 'market_price': np.float64(277.510009765625), 'nav': 238.9888, 'premium_percent': np.float64(16.12), 'status': 'premium'}
2026-04-16 20:26:35,872 | INFO | Mon100_app | Scheduler stopped
2026-04-16 21:10:33,714 | INFO | Mon100_app | Scheduler started
2026-04-16 21:11:00,004 | INFO | Mon100_app | Fetching Market price...
2026-04-16 21:11:00,721 | INFO | Mon100_app | Fetching iNav price...
2026-04-16 21:11:01,526 | INFO | Mon100_app | Calculating premium...
2026-04-16 21:11:01,527 | INFO | Mon100_app | premium percent is 16.12%
